vehicle.make,vehicle.model,vehicle.year,vehicle.type,fuelType,reviewCount,rating,location.city
Hyundai,Sonata,2015,car,GASOLINE,11,5.0,Austin
Toyota,Sienna,2012,minivan,GASOLINE,3,5.0,Austin
MINI,Hardtop 2 Door,2017,car,GASOLINE,25,5.0,Austin
Hyundai,Elantra,2017,car,GASOLINE,3,5.0,Kyle
Infiniti,Q50,2019,car,GASOLINE,4,5.0,Austin
Lexus,RX 350,2014,suv,GASOLINE,2,5.0,Austin
Nissan,Sentra,2015,car,GASOLINE,7,5.0,Kyle
Honda,HR-V,2019,suv,GASOLINE,32,4.84,Cedar Park
Honda,Civic,2016,car,GASOLINE,36,5.0,Austin
Kia,Rio,2019,car,GASOLINE,2,5.0,Kyle
Nissan,Sentra,2018,car,GASOLINE,7,5.0,Austin
Nissan,Frontier,2015,truck,GASOLINE,1,5.0,Austin
Ford,F-150,2014,truck,GASOLINE,38,4.71,Austin
Volvo,S40,2011,car,GASOLINE,15,5.0,Austin
Kia,Optima Hybrid,2018,car,HYBRID,12,4.91,Round Rock
Lexus,ES 330,2006,car,GASOLINE,73,4.97,Austin
Toyota,Corolla,2018,car,GASOLINE,52,4.94,Austin
Toyota,Camry,2009,car,GASOLINE,37,5.0,Austin
Toyota,Prius,2015,car,HYBRID,1,5.0,Austin
Toyota,Corolla,2017,car,GASOLINE,29,4.9,Austin
Toyota,Prius c,2012,car,HYBRID,94,4.96,Austin
Volkswagen,Jetta,2013,car,GASOLINE,21,4.86,Austin
Toyota,Prius c,2015,car,HYBRID,48,5.0,Austin
